sequential_id,osm_id
641,32929375
642,32929376
643,32929377
644,32929382
645,32929385
646,32929388
647,32929389
648,32929396
649,32929418
650,32929419
651,32929420
652,32929566
653,32929567
654,32929568
655,32929569
656,32929584
657,32929588
658,32929589
659,32929590
660,32929602
661,32929607
662,32929608
663,32929644
664,32929645
665,32929646
666,32929651
667,32929652
668,32929653
669,32929661
670,32929676
671,32929677
672,32929679
673,32929685
674,32929686
675,32929694
676,32929699
677,32929700
678,32929701
679,32929702
680,32929735
681,32929736
682,32929739
683,32929757
684,32929758
685,32929760
686,33005807
687,33005908
688,33005914
689,33005916
690,33005923
691,33005925
692,33005934
693,33005935
694,33005941
695,33006099
696,33006167
697,33006251
698,33006369
699,33006430
700,33006621
701,33006623
702,33006670
703,33006678
704,33006680
705,33006690
706,33006736
707,33006743
708,33006776
709,33006777
710,33006802
711,33006817
712,33006823
713,33006852
714,33006857
715,33007027
716,33007028
717,33007031
718,33007032
719,33007034
720,33007037
721,33007038
722,33007045
723,33084594
724,33084596
725,33084598
726,33084600
727,33084602
728,33452007
729,33452008
730,33452009
731,33452365
732,33452367
733,33452373
734,33452443
735,33452560
736,33452562
737,33466356
738,33469402
739,33469405
740,33469409
741,33469411
742,33469414
743,33469417
744,33469429
745,33471551
746,33471553
747,33471554
748,33471556
749,33471558
750,33471559
751,33625122
752,33680678
753,33680683
754,34018410
755,34018415
756,34018418
757,34018427
758,34018456
759,34018458
760,34018463
761,34018554
762,34018555
763,34018569
764,34018597
765,34018598
766,34018607
767,34018611
768,34018613
769,34018679
770,34018681
771,34018709
772,34018744
773,34018874
774,34018896
775,34018897
776,34018964
777,34018984
778,34018985
779,34019257
780,34019263
781,34019265
782,34019541
783,34019605
784,34019638
785,34019639
786,34019643
787,34019655
788,34019659
789,34019664
790,34019665
791,34019676
792,34019678
793,34019689
794,34019717
795,34019718
796,34019731
797,34019734
798,34019743
799,34019746
800,34019750
801,34019761
802,34019766
803,34019799
804,34019801
805,34019809
806,34019811
807,34019812
808,34019814
809,34019817
810,34019825
811,34019830
812,34019838
813,34019843
814,34019848
815,34019866
816,34019872
817,34019877
818,34019927
819,34019929
820,34019939
821,34019953
822,34128698
823,34128699
824,34128711
825,34128843
826,34129295
827,34129359
828,34129403
829,34129406
830,34129489
831,34129528
832,34129592
833,34129673
834,34129677
835,34129714
836,34129717
837,34129743
838,34129791
839,34129922
840,34129945
841,34129946
842,34129947
843,34129984
844,34129987
845,34130050
846,34130054
847,34785405
848,34785410
849,34785416
850,34785420
851,35453764
852,35453950
853,35454030
854,35454049
855,35455227
856,35456301
857,35456369
858,35456915
859,35457022
860,35458381
861,35458397
862,35458507
863,35458509
864,35729446
865,35729447
866,35729448
867,35729449
868,35729479
869,35729481
870,35731309
871,35731312
872,35961071
873,35961075
874,35961076
875,35961077
876,35961087
877,35961088
878,35961090
879,35961091
880,35961092
881,35961093
882,35961094
883,35961096
884,35961100
885,35961149
886,35961150
887,35961151
888,35961172
889,35961175
890,35961176
891,35961236
892,35961247
893,39596127
894,39598039
895,39598046
896,39598048
897,39598067
898,39598208
899,39598439
900,39598442
901,39601941
902,39601946
903,39601955
904,39601964
905,39602384
906,39602769
907,39603472
908,39605068
909,39605073
910,39605082
911,39605505
912,39605508
913,39605509
914,39606403
915,39617966
916,39617973
917,39617975
918,39617980
919,39625016
920,39625022
921,39625029
922,39628252
923,39628253
924,39628254
925,39629917
926,39629918
927,39629919
928,39629922
929,39629926
930,39630803
931,39630804
932,39630805
933,39630835
934,39631615
935,39631616
936,39631617
937,39631621
938,39631691
939,39631936
940,39631939
941,39631940
942,39631979
943,39632279
944,39632282
945,39632283
946,39632338
947,39632761
948,39632763
949,39632764
950,39632801
951,39633554
952,39633555
953,39633558
954,39633560
955,39634756
956,39634758
957,39634759
958,39638821
959,39638822
960,39639602
961,39639609
962,39639886
963,39640000
964,39640530
965,39640531
966,39640532
967,39640533
968,39641097
969,39641099
970,39641133
971,39642845
972,39642846
973,39642847
974,39642850
975,39643725
976,39643727
977,39643730
978,39643784
979,39644236
980,39644237
981,39644238
982,39644240
983,39644241
984,39644243
985,39645714
986,39645717
987,39646463
988,39646464
989,39646465
990,39646484
991,39646717
992,39647671
993,39647676
994,39647728
995,39648022
996,39648044
997,39648417
998,39648419
999,39648461
1000,39648465
1001,39648527
1002,39648582
1003,39648655
1004,39649824
1005,39650597
1006,39650782
1007,39650803
1008,39651548
1009,39651696
1010,39651835
1011,39651837
1012,39651838
1013,39653184
1014,39653186
1015,39653195
1016,39653628
1017,39653666
1018,39653697
1019,39653714
1020,39653819
1021,39653908
1022,40812662
1023,40812785
1024,40813569
1025,40813571
1026,40813874
1027,40814311
1028,40814502
1029,40814622
1030,40815272
1031,40817467
1032,40817686
1033,40817688
1034,40817691
1035,40817932
1036,40818155
1037,40818156
1038,40818794
1039,40818825
1040,40820505
1041,40820737
1042,40821779
1043,40822818
1044,40822910
1045,40822913
1046,40823015
1047,40823032
1048,40823171
1049,40823176
1050,40823214
1051,40823326
1052,40823416
1053,40823432
1054,40823464
1055,40823530
1056,40823546
1057,40823569
1058,40823774
1059,40823775
1060,40823847
1061,40823992
1062,40824202
1063,40824310
1064,40824441
1065,40824645
1066,40824675
1067,40825184
1068,40826229
1069,40826231
1070,40826589
1071,40827743
1072,40827825
1073,40827947
1074,40827990
1075,40828213
1076,40828215
1077,40828587
1078,40828595
1079,40828806
1080,40830998
1081,40831535
1082,40831544
1083,40831749
1084,40831751
1085,40831821
1086,40831852
1087,40831853
1088,40832060
1089,40832061
1090,40832271
1091,40832294
1092,40834830
1093,40834981
1094,40834995
1095,40835986
1096,40835995
1097,41941291
1098,41941302
1099,43075764
1100,43075773
1101,43077573
1102,43077594
1103,43079546
1104,43080694
1105,43080697
1106,43080699
1107,43081351
1108,43082809
1109,43082811
1110,43082813
1111,43082816
1112,43084130
1113,43084132
1114,43084135
1115,43086339
1116,43086341
1117,43088580
1118,43093069
1119,48749668
1120,48749773
1121,48749774
1122,48749880
1123,48749882
1124,48750113
1125,48750114
1126,48750118
1127,48750120
1128,48750125
1129,48750365
1130,48750368
1131,48750401
1132,48750402
1133,48750691
1134,48750999
1135,48751845
1136,48751846
1137,48752724
1138,48753205
1139,48753635
1140,48754932
1141,49828105
1142,49828829
1143,50630443
1144,56123233
1145,56130047
1146,56130064
1147,56130160
1148,56130161
1149,56130162
1150,56130227
1151,56130234
1152,56130238
1153,56130250
1154,56130268
1155,56130270
1156,56130286
1157,56130361
1158,56130362
1159,56130381
1160,56130414
1161,56130415
1162,56130435
1163,56130460
1164,56130510
1165,56130557
1166,56130632
1167,56130634
1168,56130668
1169,56130688
1170,56130701
1171,56130734
1172,56130748
1173,56130786
1174,56130818
1175,56130831
1176,56130946
1177,56131093
1178,56131094
1179,56131095
1180,56131116
1181,56131128
1182,56131259
1183,56131812
1184,56131849
1185,56131854
1186,56131996
1187,56131998
1188,56132067
1189,56132088
1190,56132113
1191,56132196
1192,56133292
1193,56133521
1194,56133524
1195,56133526
1196,56133699
1197,56133701
1198,56134158
1199,56134328
1200,56134343
1201,56134712
1202,56134713
1203,56134714
1204,56134715
1205,56134753
1206,56135085
1207,56135086
1208,56135951
1209,56135953
1210,56136935
1211,56137141
1212,56137611
1213,56137924
1214,56137932
1215,56137973
1216,56137974
1217,59604605
1218,59604912
1219,59605361
1220,59605563
1221,59605571
1222,59605572
1223,59605575
1224,59605623
1225,60088983
1226,60089579
1227,60089717
1228,60089721
1229,60090866
1230,60090983
1231,60090984
1232,60091165
1233,60091174
1234,60091175
1235,60091193
1236,60091319
1237,60091326
1238,60091327
1239,60091483
1240,60091491
1241,60091498
1242,60091569
1243,60091573
1244,60091673
1245,60091996
1246,60091998
1247,60092059
1248,60092839
1249,60093001
1250,60093036
1251,60093037
1252,60093039
1253,60093068
1254,60093069
1255,60093094
1256,60093095
1257,60093111
1258,60093112
1259,60093151
1260,60093157
1261,60093185
1262,60093186
1263,60093196
1264,60093211
1265,60093212
1266,60093311
1267,60093318
1268,60093423
1269,60093424
1270,60093462
1271,60093463
1272,60094335
1273,60094336
1274,60094342
1275,60094349
1276,60094350
1277,60094351
1278,60094364
1279,60094367
1280,60094369
1281,60094419
1282,60094495
1283,60094496
1284,60094500
1285,60094535
1286,60094544
1287,60094573
1288,60094577
1289,60094600
1290,60094858
1291,60094862
1292,60094888
1293,60094889
1294,60095256
1295,60095299
1296,60095308
1297,60095311
1298,60095339
1299,60095341
1300,60095346
1301,60095356
1302,60095357
1303,60095362
1304,60095381
1305,60095384
1306,60095386
1307,60095396
1308,60095415
1309,60095421
1310,60095453
1311,60095502
1312,60095507
1313,60095510
1314,60095588
1315,60095590
1316,60095596
1317,60095850
1318,60095886
1319,60095890
1320,60095957
1321,60096177
1322,60096231
1323,60096232
1324,60096233
1325,60096252
1326,60096335
1327,60096348
1328,60096353
1329,60096374
1330,60171014
1331,60446860
1332,60446862
1333,60446863
1334,60446864
1335,60446866
1336,60447039
1337,60447041
1338,60447047
1339,60447112
1340,60447113
1341,60447114
1342,60447115
1343,60447116
1344,60447127
1345,60447130
1346,60447166
1347,60447167
1348,60447173
1349,60447174
1350,60447178
1351,60447221
1352,60447225
1353,60447226
1354,60447227
1355,60447564
1356,60447567
1357,60447574
1358,60447575
1359,60447579
1360,60447582
1361,60447685
1362,60447693
1363,60447744
1364,60447758
1365,60447759
1366,60447760
1367,60447775
1368,60447777
1369,60447778
1370,60447779
1371,60447787
1372,60447849
1373,60447851
1374,60447854
1375,60447855
1376,60447858
1377,60447860
1378,60447861
1379,60448223
1380,60448275
1381,60448276
1382,60448691
1383,60448813
1384,60448814
1385,60448815
1386,60448836
1387,60448855
1388,60448856
1389,60448857
1390,60448858
1391,60448879
1392,60448880
1393,60448899
1394,60448916
1395,60448917
1396,60448925
1397,60449187
1398,60449217
1399,60449257
1400,60449259
1401,60449262
1402,60449264
1403,60449320
1404,60449321
1405,60449341
1406,60449376
1407,60449377
1408,60449404
1409,60449406
1410,60449408
1411,60449422
1412,60449431
1413,60449432
1414,60449438
1415,60449442
1416,60449445
1417,60449450
1418,60449489
1419,60449492
1420,60449493
1421,60449499
1422,60449510
1423,60449516
1424,60449518
1425,60449530
1426,60449535
1427,60449549
1428,60449550
1429,60449551
1430,60449597
1431,60449598
1432,60449603
1433,60449715
1434,60449720
1435,60449723
1436,60449727
1437,60449730
1438,60449731
1439,60449733
1440,60449735
1441,60449739
1442,60449744
1443,60449753
1444,60449754
1445,60449759
1446,60449824
1447,60449825
1448,60449826
1449,60449965
1450,60449966
1451,60449971
1452,60450023
1453,60450024
1454,60450030
1455,60450034
1456,60450192
1457,60450193
1458,60450214
1459,60450215
1460,60450322
1461,60450324
1462,60450326
1463,60450327
1464,60450329
1465,60450331
1466,60450332
1467,60450335
1468,60450338
1469,60450403
1470,60450404
1471,60450405
1472,60450407
1473,60450408
1474,60450409
1475,60450410
1476,60450419
1477,60450456
1478,60450457
1479,60450459
1480,60450481
1481,60450519
1482,60450523
1483,60450524
1484,60450585
1485,60450589
1486,60450631
1487,60450662
1488,60450663
1489,60451111
1490,60451112
1491,60451117
1492,60451118
1493,60451120
1494,60451121
1495,60451124
1496,60451183
1497,60451184
1498,60451186
1499,60451187
1500,60451188
1501,60451261
1502,60451320
1503,60723684
1504,60723685
1505,60723686
1506,60723687
1507,60723688
1508,60723689
